days,total,week
"[0, 2, 1, 5, 1, 1, 0]",10,1684022400
"[1, 3, 9, 0, 1, 4, 0]",18,1684627200
"[0, 0, 3, 1, 4, 3, 0]",11,1685232000
"[0, 2, 2, 0, 1, 2, 0]",7,1685836800
"[0, 0, 2, 3, 2, 1, 0]",8,1686441600
"[0, 1, 3, 5, 2, 1, 0]",12,1687046400
"[0, 1, 4, 1, 3, 2, 0]",11,1687651200
"[0, 1, 0, 1, 1, 0, 1]",4,1688256000
"[0, 8, 7, 5, 6, 2, 1]",29,1688860800
"[0, 4, 1, 0, 2, 4, 0]",11,1689465600
"[0, 7, 2, 3, 3, 1, 0]",16,1690070400
"[0, 2, 4, 4, 3, 0, 0]",13,1690675200
"[0, 1, 4, 2, 2, 5, 0]",14,1691280000
"[0, 1, 2, 3, 5, 6, 0]",17,1691884800
"[0, 1, 7, 1, 4, 0, 0]",13,1692489600
"[1, 0, 3, 5, 4, 6, 2]",21,1693094400
"[0, 2, 0, 5, 0, 2, 1]",10,1693699200
"[0, 7, 2, 6, 8, 9, 0]",32,1694304000
"[0, 7, 9, 10, 11, 4, 1]",42,1694908800
"[0, 0, 4, 1, 4, 4, 0]",13,1695513600
"[0, 3, 1, 9, 8, 15, 0]",36,1696118400
"[0, 3, 4, 4, 0, 2, 1]",14,1696723200
"[0, 0, 7, 9, 5, 0, 1]",22,1697328000
"[0, 2, 7, 2, 4, 3, 0]",18,1697932800
"[0, 1, 4, 2, 2, 5, 0]",14,1698537600
"[0, 0, 4, 2, 4, 0, 0]",10,1699142400
"[0, 3, 0, 2, 1, 4, 0]",10,1699747200
"[0, 1, 1, 2, 0, 0, 0]",4,1700352000
"[0, 8, 5, 2, 0, 7, 0]",22,1700956800
"[0, 2, 0, 1, 2, 4, 0]",9,1701561600
"[0, 2, 1, 1, 0, 0, 0]",4,1702166400
"[0, 1, 0, 5, 1, 1, 0]",8,1702771200
"[0, 0, 0, 0, 2, 0, 0]",2,1703376000
"[0, 0, 2, 3, 4, 5, 2]",16,1703980800
"[0, 1, 1, 9, 8, 0, 0]",19,1704585600
"[0, 0, 2, 3, 2, 3, 3]",13,1705190400
"[0, 9, 2, 3, 2, 3, 1]",20,1705795200
"[0, 6, 0, 3, 5, 4, 1]",19,1706400000
"[0, 3, 6, 1, 9, 7, 2]",28,1707004800
"[0, 6, 8, 1, 3, 3, 0]",21,1707609600
"[0, 0, 1, 2, 1, 1, 0]",5,1708214400
"[0, 1, 3, 0, 1, 3, 1]",9,1708819200
"[1, 0, 0, 5, 5, 5, 0]",16,1709424000
"[0, 2, 4, 5, 1, 1, 2]",15,1710028800
"[0, 4, 2, 2, 5, 1, 1]",15,1710633600
"[0, 5, 5, 1, 4, 2, 1]",18,1711238400
"[0, 1, 3, 6, 3, 8, 1]",22,1711843200
"[0, 3, 2, 2, 4, 4, 1]",16,1712448000
"[0, 2, 4, 4, 12, 3, 0]",25,1713052800
"[0, 0, 1, 2, 1, 4, 0]",8,1713657600
"[2, 3, 2, 2, 2, 5, 2]",18,1714262400
"[0, 5, 7, 2, 1, 0, 0]",15,1714867200
