week,additions,deletions
1515283200,11610,-641
1515888000,3626,-1659
1516492800,2400,-1402
1517097600,18192,-15085
1517702400,2131,-1755
1518307200,185,-87
1518912000,47,-2
1519516800,0,0
1520121600,2236,-1010
1520726400,5704,-5662
1521331200,1305,-686
1521936000,291,-95
1522540800,3503,-2462
1523145600,906,-840
1523750400,676,-542
1524355200,347,-239
1524960000,785,-259
1525564800,48554,-40031
1526169600,29662,-40260
1526774400,1896,-1597
1527379200,397,-715
1527984000,1193,-567
1528588800,3819,-2518
1529193600,626,-551
1529798400,1172,-266
1530403200,2112,-1023
1531008000,1048,-439
1531612800,3660,-758
1532217600,222,-89
1532822400,740,-102
1533427200,14520,-9130
1534032000,37780,-48930
1534636800,29,-1
1535241600,203,-68
1535846400,209,-352
1536451200,92,-62
1537056000,234,-153
1537660800,5289,-4951
1538265600,3325,-3409
1538870400,2051,-1107
1539475200,7371,-3533
1540080000,615,-377
1540684800,3476,-3076
1541289600,3012,-2860
1541894400,3886,-3425
1542499200,7913,-6537
1543104000,1923,-1028
1543708800,5928,-5463
1544313600,6790,-6486
1544918400,1380,-13712
1545523200,0,0
1546128000,13753,-26
1546732800,2650,-2558
1547337600,153,-253
1547942400,1262,-285
1548547200,3347,-1046
1549152000,5578,-2380
1549756800,7494,-5256
1550361600,5641,-1612
1550966400,15631,-8128
1551571200,10488,-15632
1552176000,15780,-9156
1552780800,2333,-3659
1553385600,2885,-3788
1553990400,2625,-1482
1554595200,12166,-8591
1555200000,10171,-982
1555804800,3196,-2356
1556409600,1329,-703
1557014400,4703,-2808
1557619200,56754,-44006
1558224000,9341,-47998
1558828800,2372,-1192
1559433600,6822,-2012
1560038400,6524,-5768
1560643200,5125,-2492
1561248000,1104,-1089
1561852800,4081,-4629
1562457600,2916,-1578
1563062400,679,-980
1563667200,7002,-2052
1564272000,338,-63
1564876800,3536,-2300
1565481600,5054,-5887
1566086400,35895,-10094
1566691200,1835,-1226
1567296000,3485,-2939
1567900800,16001,-14914
1568505600,1780,-1167
1569110400,6689,-4338
1569715200,1968,-1704
1570320000,7458,-4296
1570924800,5276,-1453
1571529600,3297,-4020
1572134400,808,-258
1572739200,738,-298
1573344000,1846,-1342
1573948800,1714,-839
1574553600,2127,-251
1575158400,1952,-2708
1575763200,1983,-665
1576368000,1338,-648
1576972800,176,-41
1577577600,13,-7
1578182400,342426,-1612
1578787200,7007,-6208
1579392000,1648,-111
1579996800,1150,-1266
1580601600,1149,-449
1581206400,2931,-4426
1581811200,748,-439
1582416000,1867,-765
1583020800,1064,-615
1583625600,2349,-1354
1584230400,7,-5
1584835200,30865,-6209
1585440000,3125,-88
1586044800,103,-151
1586649600,9,-2
1587254400,567,-165
1587859200,1050,-342
1588464000,652,-275
1589068800,624,-175
1589673600,867,-706
1590278400,443,-97
1590883200,256,-107
1591488000,159,-33
1592092800,706,-198
1592697600,404,-110
1593302400,5993,-2194
1593907200,5195,-1062
1594512000,2753,-1732
1595116800,12575,-11937
1595721600,2405,-1171
1596326400,1744,-1231
1596931200,3876,-3373
1597536000,1268,-407
1598140800,15061,-788
1598745600,925,-293
1599350400,360,-405
1599955200,2091,-14116
1600560000,6635,-4783
1601164800,1937,-906
1601769600,9815,-20010
1602374400,1230,-586
1602979200,6397,-5636
1603584000,1590,-925
1604188800,919,-855
1604793600,3817,-4352
1605398400,319,-253
1606003200,906,-2035
1606608000,590,-263
1607212800,461,-308
1607817600,1413,-522
1608422400,5314,-4934
1609027200,315,-277
1609632000,1399,-1361
1610236800,520,-892
1610841600,2613,-2199
1611446400,4077,-2515
1612051200,694,-305
1612656000,418,-212
1613260800,965,-490
1613865600,2080,-1333
1614470400,913,-718
1615075200,793,-82
1615680000,7750,-2846
1616284800,315,-189
1616889600,1650,-869
1617494400,1184,-348
1618099200,128,-17
1618704000,1682,-425
1619308800,7966,-1467
1619913600,446,-185
1620518400,349,-169
1621123200,1551,-434
1621728000,1456,-558
1622332800,147,-230
1622937600,457,-302
1623542400,48,-28
1624147200,4465,-1314
1624752000,31080,-4253
1625356800,200,-61
1625961600,6685,-1777
1626566400,8172,-1908
1627171200,45,-22
1627776000,431,-203
1628380800,1268,-227
1628985600,485,-210
1629590400,193,-202
1630195200,1696,-755
1630800000,10,-10
1631404800,13213,-5390
1632009600,1386,-374
1632614400,0,0
1633219200,978,-1357
1633824000,328,-143
1634428800,207,-8495
1635033600,272,-220
1635638400,5100,-397
1636243200,329,-161
1636848000,550,-1209
1637452800,209,-514
1638057600,25,-12
1638662400,1016,-844
1639267200,1049,-367
1639872000,89,-55
1640476800,191,-32
1641081600,3646,-1253
1641686400,7374,-8692
1642291200,1760,-1240
1642896000,317,-209
1643500800,542,-430
1644105600,134,-102
1644710400,487,-211
1645315200,992,-541
1645920000,1445,-431
1646524800,12439,-1303
1647129600,15393,-6539
1647734400,24,-5
1648339200,1236,-712
1648944000,0,0
1649548800,220,-187
1650153600,4239,-2417
1650758400,26,-6
1651363200,298,-177
1651968000,3393,-435
1652572800,1720,-1130
1653177600,1445,-997
1653782400,2652,-2357
1654387200,127,-77
1654992000,65436,-110
1655596800,243,-74
1656201600,1780,-748
1656806400,273,-38
1657411200,5649,-4940
1658016000,2260,-1963
1658620800,1156,-463
1659225600,20147,-19710
1659830400,2809,-65697
1660435200,588,-273
1661040000,1330,-1005
1661644800,7316,-20586
1662249600,3219,-1039
1662854400,857,-614
1663459200,5806,-4059
1664064000,4003,-1089
1664668800,4728,-40311
1665273600,1440,-1683
1665878400,2410,-756
1666483200,3558,-1641
1667088000,1847,-401
1667692800,2057,-817
1668297600,1784,-545
1668902400,424,-238
1669507200,506,-11977
1670112000,1805,-846
1670716800,904,-71
1671321600,1692,-1201
1671926400,208,-285
1672531200,2000,-1968
1673136000,2771,-1603
1673740800,6540,-2872
1674345600,5378,-2667
1674950400,14578,-8179
1675555200,1430,-1210
1676160000,1049,-596
1676764800,789,-65
1677369600,1822,-281
1677974400,3258,-1704
1678579200,2182,-1915
1679184000,3895,-971
1679788800,1389,-475
1680393600,843,-196
1680998400,1989,-831
1681603200,4540,-340758
1682208000,8248,-2922
1682812800,78986,-75264
1683417600,1880,-2834
1684022400,4828,-587
1684627200,1191,-757
1685232000,1787,-1719
1685836800,634,-380
1686441600,5685,-13160
